WKT,fid,NODEID,NODETYPE,DATE,REMARK,ITS_NODEID,HDUFID,HISTTYPE,HISTREMARK
"MULTIPOINT ((302007.061 4122505.978))",35,233A00330101,01,20180430,,,C1NO184A001034,,
"MULTIPOINT ((302010.449 4122505.38))",36,233A00340101,01,20180430,,,C1NO184A001035,,
"MULTIPOINT ((301998.004 4122494.995))",37,233A00350101,01,20180430,,,C1NO184A001036,,
"MULTIPOINT ((301992.0 4122495.953))",38,233A00360101,01,20180430,,,C1NO184A001037,,
"MULTIPOINT ((301990.795 4122487.549))",39,233A00370101,99,20180430,���ų���,,C1NO184A001038,,
"MULTIPOINT ((301996.677 4122486.745))",40,233A00380101,99,20180430,���ų���,,C1NO184A001039,,
"MULTIPOINT ((302019.726 4122498.489))",41,233A00390101,01,20180430,,,C1NO184A001040,,
"MULTIPOINT ((302019.123 4122495.104))",42,233A00400101,01,20180430,,,C1NO184A001041,,
"MULTIPOINT ((302047.36 4122490.142))",43,233A00410101,01,20180430,,,C1NO184A001042,,
"MULTIPOINT ((302047.847 4122493.539))",44,233A00420101,01,20180430,,,C1NO184A001043,,
"MULTIPOINT ((302086.577 4122618.631))",45,233A00430101,01,20180430,,,C1NO184A001044,,
"MULTIPOINT ((302083.408 4122619.057))",46,233A00440101,01,20180430,,,C1NO184A001045,,
"MULTIPOINT ((302081.199 4122606.224))",47,233A00450101,01,20180430,,,C1NO184A001046,,
"MULTIPOINT ((302084.383 4122605.769))",48,233A00460101,01,20180430,,,C1NO184A001047,,
"MULTIPOINT ((302082.738 4122596.533))",49,233A00470101,01,20180430,,,C1NO184A001048,,
"MULTIPOINT ((302079.817 4122596.872))",50,233A00480101,01,20180430,,,C1NO184A001049,,
"MULTIPOINT ((302091.088 4122603.149))",51,233A00490101,01,20180430,,,C1NO184A001050,,
"MULTIPOINT ((302090.549 4122600.31))",52,233A00500101,01,20180430,,,C1NO184A001051,,
"MULTIPOINT ((302152.861 4122589.39))",53,233A00510101,01,20180430,,,C1NO184A001052,,
"MULTIPOINT ((302153.308 4122592.407))",54,233A00520101,01,20180430,,,C1NO184A001053,,
"MULTIPOINT ((302066.114 4122519.543))",55,233A00530101,01,20180430,,,C1NO184A001054,,
"MULTIPOINT ((302069.096 4122519.139))",56,233A00540101,01,20180430,,,C1NO184A001055,,
"MULTIPOINT ((302067.576 4122510.355))",57,233A00550101,01,20180430,,,C1NO184A001056,,
"MULTIPOINT ((302064.609 4122510.798))",58,233A00560101,01,20180430,,,C1NO184A001057,,
"MULTIPOINT ((302062.113 4122496.616))",59,233A00570101,01,20180430,,,C1NO184A001058,,
"MULTIPOINT ((302065.047 4122496.137))",60,233A00580101,01,20180430,,,C1NO184A001059,,
"MULTIPOINT ((302061.319 4122477.395))",61,233A00590101,01,20180430,,,C1NO184A001060,,
"MULTIPOINT ((302057.24 4122477.989))",62,233A00600101,01,20180430,,,C1NO184A001061,,
"MULTIPOINT ((302130.108 4122445.869))",63,233A00610101,01,20180430,,,C1NO184A001062,,
"MULTIPOINT ((302130.575 4122449.56))",64,233A00620101,01,20180430,,,C1NO184A001063,,
"MULTIPOINT ((302138.896 4122456.059))",65,233A00630101,01,20180430,,,C1NO184A001064,,
"MULTIPOINT ((302141.776 4122455.412))",66,233A00640101,01,20180430,,,C1NO184A001065,,
"MULTIPOINT ((302147.735 4122490.241))",67,233A00650101,01,20180430,,,C1NO184A001066,,
"MULTIPOINT ((302144.753 4122490.499))",68,233A00660101,01,20180430,,,C1NO184A001067,,
