WKT,R_LINKID,L_LINKID,LANETYPE,LANECODE,BARRIER,LNO,CODE,DATE,REMARK,HDUFID,HISTTYPE,HISTREMARK
"MULTILINESTRING ((302194.992 4122497.516,302195.312 4122499.363,302195.826 4122502.318,302196.339 4122505.274,302196.853 4122508.23))",,233A0041LR0101,999,99,04,30,2,20170126,,A1LA17CA060030,,
"MULTILINESTRING ((302196.853 4122508.23,302195.757 4122508.424,302192.803 4122508.949,302189.849 4122509.473))",,233A0041LR0101,999,99,08,31,2,20170126,,A1LA17CA060031,,
"MULTILINESTRING ((302189.849 4122509.473,302189.794 4122509.178,302189.24 4122506.23,302188.686 4122503.282,302188.131 4122500.335,302187.577 4122497.387,302187.491 4122497.341))",,233A0041LR0101,999,99,04,32,2,20170126,,A1LA17CA060032,,
"MULTILINESTRING ((302181.982 4122493.622,302180.262 4122493.917,302177.305 4122494.424,302174.348 4122494.931,302171.392 4122495.438,302171.27 4122495.46,302168.319 4122495.999,302165.367 4122496.537,302162.416 4122497.075,302159.465 4122497.613,302156.513 4122498.151))",233A0041LR0101,,111,01,99,33,1,20170126,,A1LA17CA060033,,
"MULTILINESTRING ((302156.513 4122498.151,302159.465 4122497.613,302162.416 4122497.075,302165.367 4122496.537,302168.319 4122495.999,302171.27 4122495.46,302171.392 4122495.438,302174.348 4122494.931,302177.305 4122494.424,302180.262 4122493.917,302181.982 4122493.622))",233A0042RZ0101,,111,01,99,34,1,20170126,,A1LA17CA060034,,
"MULTILINESTRING ((302156.007 4122494.053,302156.704 4122493.935,302159.655 4122493.427,302161.156 4122493.168,302162.656 4122492.909,302165.503 4122492.426,302167.082 4122492.164,302168.661 4122491.902,302171.117 4122491.482,302173.385 4122491.09,302176.332 4122490.575,302178.962 4122490.12,302179.636 4122489.931,302180.319 4122489.583,302180.662 4122489.144))",,233A0042RZ0101,999,99,04,35,2,20170126,,A1LA17CA060035,,
"MULTILINESTRING ((302180.662 4122489.144,302180.7 4122489.096,302181.172 4122488.389,302181.296 4122487.979,302181.311 4122487.261,302181.217 4122486.534,302180.955 4122485.07,302180.711 4122483.691,302180.555 4122483.394,302180.408 4122483.169),(302180.408 4122483.169,302180.192 4122482.84,302179.994 4122482.671,302179.646 4122482.523,302179.225 4122482.46,302178.654 4122482.542,302177.531 4122482.759,302177.906 4122484.897,302178.348 4122487.675,302177.064 4122487.871,302174.212 4122488.388,302171.755 4122488.8,302170.005 4122489.123,302167.538 4122489.517,302165.793 4122489.778,302164.047 4122490.039,302163.636 4122487.353,302163.138 4122484.794,302160.969 4122485.134,302158.254 4122485.697,302157.898 4122483.593,302157.543 4122481.489,302157.122 4122479.076,302156.701 4122476.662,302156.279 4122474.249,302155.858 4122471.836,302155.417 4122469.227,302154.975 4122466.619,302154.534 4122464.011,302154.092 4122461.402,302153.651 4122458.794,302153.209 4122456.186,302155.138 4122455.868,302156.658 4122455.598,302158.177 4122455.328,302157.953 4122453.688,302157.729 4122452.048,302157.133 4122449.305))",,,999,99,04,36,2,20170126,,A1LA17CA060036,,
"MULTILINESTRING ((302163.41 4122448.356,302163.848 4122451.324,302164.114 4122453.131,302164.482 4122453.683,302164.953 4122453.852,302165.48 4122453.882,302168.432 4122453.347,302171.384 4122452.812,302171.392 4122452.81,302174.343 4122452.275,302177.295 4122451.74,302180.247 4122451.205,302183.199 4122450.67,302186.151 4122450.135,302186.439 4122450.083,302186.897 4122452.794,302187.356 4122455.504,302187.815 4122458.215,302188.274 4122460.925,302188.733 4122463.636,302189.191 4122466.346,302189.65 4122469.056,302190.109 4122471.767,302190.568 4122474.477,302191.027 4122477.188,302191.485 4122479.898),(302191.485 4122479.898,302188.971 4122480.298,302186.457 4122480.698,302186.996 4122483.649,302187.424 4122485.995,302187.891 4122487.01,302188.439 4122487.583,302188.744 4122487.695))",,,999,99,04,37,2,20170126,,A1LA17CA060037,,
"MULTILINESTRING ((302187.756 4122492.632,302184.869 4122493.127,302181.982 4122493.622))",233A0041LR0101,,112,01,99,38,1,20170126,,A1LA17CA060038,,
"MULTILINESTRING ((302181.982 4122493.622,302184.869 4122493.127,302187.756 4122492.632))",233A0042RZ0101,,112,01,99,39,1,20170126,,A1LA17CA060039,,
