WKT,NODEID,NODETYPE,DATE,REMARK,ITS_NODEID,HDUFID
POINT (302083.408 4122619.057),233A00440101,1,20180430,,,C1NO184A001045
POINT (302081.199 4122606.224),233A00450101,1,20180430,,,C1NO184A001046
POINT (302084.383 4122605.769),233A00460101,1,20180430,,,C1NO184A001047
POINT (302082.738 4122596.533),233A00470101,1,20180430,,,C1NO184A001048
POINT (302079.817 4122596.872),233A00480101,1,20180430,,,C1NO184A001049
POINT (302091.088 4122603.149),233A00490101,1,20180430,,,C1NO184A001050
POINT (302090.549 4122600.31),233A00500101,1,20180430,,,C1NO184A001051
POINT (302152.861 4122589.39),233A00510101,1,20180430,,,C1NO184A001052
POINT (302153.308 4122592.407),233A00520101,1,20180430,,,C1NO184A001053
POINT (302066.114 4122519.543),233A00530101,1,20180430,,,C1NO184A001054
POINT (302069.096 4122519.139),233A00540101,1,20180430,,,C1NO184A001055
POINT (302067.576 4122510.355),233A00550101,1,20180430,,,C1NO184A001056
POINT (302064.609 4122510.798),233A00560101,1,20180430,,,C1NO184A001057
POINT (302062.113 4122496.616),233A00570101,1,20180430,,,C1NO184A001058
POINT (302065.047 4122496.137),233A00580101,1,20180430,,,C1NO184A001059
POINT (302061.319 4122477.395),233A00590101,1,20180430,,,C1NO184A001060
POINT (302057.24 4122477.989),233A00600101,1,20180430,,,C1NO184A001061
POINT (302130.108 4122445.869),233A00610101,1,20180430,,,C1NO184A001062
POINT (302130.575 4122449.56),233A00620101,1,20180430,,,C1NO184A001063
POINT (302138.896 4122456.059),233A00630101,1,20180430,,,C1NO184A001064
POINT (302141.776 4122455.412),233A00640101,1,20180430,,,C1NO184A001065
POINT (302147.735 4122490.241),233A00650101,1,20180430,,,C1NO184A001066
POINT (302144.753 4122490.499),233A00660101,1,20180430,,,C1NO184A001067
POINT (302147.986 4122509.525),233A00670101,1,20180430,,,C1NO184A001068
POINT (302150.989 4122509.244),233A00680101,1,20180430,,,C1NO184A001069
POINT (302162.719 4122578.964),233A00690101,1,20180430,,,C1NO184A001070
POINT (302159.977 4122579.38),233A00700101,1,20180430,,,C1NO184A001071
